Connecting to host 10.0.0.4, port 5201
[ 24] local 10.0.0.1 port 42274 connected to 10.0.0.4 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  1.52 MBytes  12.7 Mbits/sec  110   77.8 KBytes       
[ 24]   1.00-2.00   sec  1.12 MBytes  9.41 Mbits/sec    0   87.7 KBytes       
[ 24]   2.00-3.00   sec  1.12 MBytes  9.42 Mbits/sec    0   96.2 KBytes       
[ 24]   3.00-4.00   sec  1.12 MBytes  9.41 Mbits/sec    0    105 KBytes       
[ 24]   4.00-5.00   sec  1.12 MBytes  9.41 Mbits/sec    0    112 KBytes       
[ 24]   5.00-6.00   sec  1.28 MBytes  10.8 Mbits/sec    0    119 KBytes       
[ 24]   6.00-7.00   sec  1.12 MBytes  9.41 Mbits/sec    0    126 KBytes       
[ 24]   7.00-8.00   sec  1.12 MBytes  9.40 Mbits/sec    0    132 KBytes       
[ 24]   8.00-9.00   sec  1.12 MBytes  9.41 Mbits/sec    0    139 KBytes       
[ 24]   9.00-10.00  sec  1.12 MBytes  9.42 Mbits/sec    0    144 KBytes       
[ 24]  10.00-11.00  sec  1.12 MBytes  9.42 Mbits/sec    0    150 KBytes       
[ 24]  11.00-12.00  sec  1.22 MBytes  10.2 Mbits/sec    1   77.8 KBytes       
[ 24]  12.00-13.00  sec  1.12 MBytes  9.41 Mbits/sec    0   87.7 KBytes       
[ 24]  13.00-14.00  sec  1.12 MBytes  9.42 Mbits/sec    0   96.2 KBytes       
[ 24]  14.00-15.00  sec  1.12 MBytes  9.42 Mbits/sec    0    105 KBytes       
[ 24]  15.00-16.00  sec   659 KBytes  5.40 Mbits/sec    1   58.0 KBytes       
[ 24]  16.00-17.00  sec   659 KBytes  5.40 Mbits/sec    0   63.6 KBytes       
[ 24]  17.00-18.00  sec   495 KBytes  4.05 Mbits/sec    0   70.7 KBytes       
[ 24]  18.00-19.00  sec   660 KBytes  5.41 Mbits/sec    0   76.4 KBytes       
[ 24]  19.00-20.00  sec   536 KBytes  4.39 Mbits/sec    1   43.8 KBytes       
[ 24]  20.00-21.00  sec   659 KBytes  5.40 Mbits/sec    0   52.3 KBytes       
[ 24]  21.00-22.00  sec  1.12 MBytes  9.43 Mbits/sec    0   66.5 KBytes       
[ 24]  22.00-23.00  sec  1.12 MBytes  9.41 Mbits/sec    0   77.8 KBytes       
[ 24]  23.00-24.00  sec  1.12 MBytes  9.41 Mbits/sec    0   87.7 KBytes       
[ 24]  24.00-25.00  sec  1.12 MBytes  9.41 Mbits/sec    0   96.2 KBytes       
[ 24]  25.00-26.00  sec  1.12 MBytes  9.41 Mbits/sec    0    105 KBytes       
[ 24]  26.00-27.00  sec  1.12 MBytes  9.41 Mbits/sec    0    112 KBytes       
[ 24]  27.00-28.00  sec  1.28 MBytes  10.8 Mbits/sec    0    119 KBytes       
[ 24]  28.00-29.00  sec  1.12 MBytes  9.41 Mbits/sec    0    126 KBytes       
[ 24]  29.00-30.00  sec  1.12 MBytes  9.41 Mbits/sec    0    132 KBytes       
[ 24]  30.00-31.00  sec  1.12 MBytes  9.41 Mbits/sec    0    137 KBytes       
[ 24]  31.00-32.00  sec  1.12 MBytes  9.41 Mbits/sec    0    143 KBytes       
[ 24]  32.00-33.00  sec  1.12 MBytes  9.41 Mbits/sec    0    148 KBytes       
[ 24]  33.00-34.00  sec  1.12 MBytes  9.41 Mbits/sec    1    115 KBytes       
[ 24]  34.00-35.00  sec  1.16 MBytes  9.70 Mbits/sec    0   86.3 KBytes       
[ 24]  35.00-36.00  sec  1.12 MBytes  9.41 Mbits/sec    0   94.7 KBytes       
[ 24]  36.00-37.00  sec  1.12 MBytes  9.41 Mbits/sec    0    103 KBytes       
[ 24]  37.00-38.00  sec  1.12 MBytes  9.41 Mbits/sec    0    112 KBytes       
[ 24]  38.00-39.00  sec  1.28 MBytes  10.8 Mbits/sec    0    119 KBytes       
