Connecting to host 10.0.0.4, port 5201
[ 24] local 10.0.0.1 port 42274 connected to 10.0.0.4 port 5201
[ 24]  39.00-40.00  sec  1.12 MBytes  9.41 Mbits/sec    0    124 KBytes       
[ 24]  40.00-41.00  sec  1.12 MBytes  9.41 Mbits/sec    0    132 KBytes       
[ 24]  41.00-42.00  sec  1.12 MBytes  9.40 Mbits/sec    0    137 KBytes       
[ 24]  42.00-43.00  sec   986 KBytes  8.08 Mbits/sec    1   74.9 KBytes       
[ 24]  43.00-44.00  sec   820 KBytes  6.72 Mbits/sec    0   83.4 KBytes       
[ 24]  44.00-45.00  sec   820 KBytes  6.72 Mbits/sec    0   89.1 KBytes       
[ 24]  45.00-46.00  sec   659 KBytes  5.40 Mbits/sec    0   94.7 KBytes       
[ 24]  46.00-47.00  sec   718 KBytes  5.88 Mbits/sec    1   52.3 KBytes       
[ 24]  47.00-48.00  sec   660 KBytes  5.41 Mbits/sec    0   59.4 KBytes       
[ 24]  48.00-49.00  sec   984 KBytes  8.06 Mbits/sec    0   70.7 KBytes       
[ 24]  49.00-50.00  sec  1.28 MBytes  10.8 Mbits/sec    0   82.0 KBytes       
[ 24]  50.00-51.00  sec  1.12 MBytes  9.41 Mbits/sec    0   90.5 KBytes       
[ 24]  51.00-52.00  sec  1.12 MBytes  9.41 Mbits/sec    0   99.0 KBytes       
[ 24]  52.00-53.00  sec  1.12 MBytes  9.41 Mbits/sec    0    107 KBytes       
[ 24]  53.00-54.00  sec  1.12 MBytes  9.41 Mbits/sec    0    115 KBytes       
[ 24]  54.00-55.00  sec  1.12 MBytes  9.42 Mbits/sec    0    122 KBytes       
[ 24]  55.00-56.00  sec  1.12 MBytes  9.42 Mbits/sec    0    129 KBytes       
[ 24]  56.00-57.00  sec  1.12 MBytes  9.41 Mbits/sec    0    134 KBytes       
[ 24]  57.00-58.00  sec  1.12 MBytes  9.41 Mbits/sec    0    140 KBytes       
[ 24]  58.00-59.00  sec  1.28 MBytes  10.8 Mbits/sec    0    146 KBytes       
[ 24]  59.00-60.00  sec  1.12 MBytes  9.42 Mbits/sec    0    151 KBytes       
[ 24]  60.00-61.00  sec  1.06 MBytes  8.93 Mbits/sec    1   80.6 KBytes       
[ 24]  61.00-62.00  sec  1.12 MBytes  9.41 Mbits/sec    0   90.5 KBytes       
[ 24]  62.00-63.00  sec  1.12 MBytes  9.41 Mbits/sec    0   99.0 KBytes       
[ 24]  63.00-64.00  sec  1.12 MBytes  9.41 Mbits/sec    0    107 KBytes       
[ 24]  64.00-65.00  sec  1.28 MBytes  10.8 Mbits/sec    0    115 KBytes       
[ 24]  65.00-66.00  sec  1.12 MBytes  9.41 Mbits/sec    0    122 KBytes       
[ 24]  66.00-67.00  sec  1.12 MBytes  9.41 Mbits/sec    0    127 KBytes       
[ 24]  67.00-68.00  sec  1.13 MBytes  9.44 Mbits/sec    0    134 KBytes       
[ 24]  68.00-69.00  sec   932 KBytes  7.63 Mbits/sec    1   73.5 KBytes       
[ 24]  69.00-70.00  sec   656 KBytes  5.37 Mbits/sec    0   80.6 KBytes       
[ 24]  70.00-71.00  sec   823 KBytes  6.74 Mbits/sec    0   87.7 KBytes       
[ 24]  71.00-72.00  sec   659 KBytes  5.40 Mbits/sec    0   93.3 KBytes       
[ 24]  72.00-73.00  sec   716 KBytes  5.86 Mbits/sec    1   50.9 KBytes       
[ 24]  73.00-74.00  sec   820 KBytes  6.72 Mbits/sec    0   60.8 KBytes       
[ 24]  74.00-75.00  sec  1.12 MBytes  9.43 Mbits/sec    0   73.5 KBytes       
[ 24]  75.00-76.00  sec  1.12 MBytes  9.41 Mbits/sec    0   83.4 KBytes       
[ 24]  76.00-77.00  sec  1.12 MBytes  9.41 Mbits/sec    0   93.3 KBytes       
[ 24]  77.00-78.00  sec  1.12 MBytes  9.41 Mbits/sec    0    102 KBytes       
[ 24]  78.00-79.00  sec  1.28 MBytes  10.8 Mbits/sec    0    109 KBytes       
[ 24]  79.00-80.00  sec  1.12 MBytes  9.41 Mbits/sec    0    116 KBytes       
[ 24]  80.00-81.00  sec  1.12 MBytes  9.41 Mbits/sec    0    123 KBytes       
[ 24]  81.00-82.00  sec  1.12 MBytes  9.41 Mbits/sec    0    129 KBytes       
[ 24]  82.00-83.00  sec  1.12 MBytes  9.42 Mbits/sec    0    136 KBytes       
[ 24]  83.00-84.00  sec  1.12 MBytes  9.41 Mbits/sec    0    141 KBytes       
[ 24]  84.00-85.00  sec  1.12 MBytes  9.41 Mbits/sec    0    147 KBytes       
[ 24]  85.00-86.00  sec  1.12 MBytes  9.42 Mbits/sec    0    153 KBytes       
[ 24]  86.00-87.00  sec  1.13 MBytes  9.44 Mbits/sec    1   83.4 KBytes       
[ 24]  87.00-88.00  sec  1.28 MBytes  10.8 Mbits/sec    0   91.9 KBytes       
[ 24]  88.00-89.00  sec  1.12 MBytes  9.42 Mbits/sec    0    100 KBytes       
[ 24]  89.00-90.00  sec  1.12 MBytes  9.42 Mbits/sec    0    109 KBytes       
[ 24]  90.00-91.00  sec  1.12 MBytes  9.41 Mbits/sec    0    116 KBytes       
[ 24]  91.00-92.00  sec  1.12 MBytes  9.42 Mbits/sec    0    122 KBytes       
[ 24]  92.00-93.00  sec   822 KBytes  6.73 Mbits/sec    1   67.9 KBytes       
[ 24]  93.00-94.00  sec   658 KBytes  5.39 Mbits/sec    0   74.9 KBytes       
[ 24]  94.00-95.00  sec   659 KBytes  5.40 Mbits/sec    0   80.6 KBytes       
[ 24]  95.00-96.00  sec   659 KBytes  5.40 Mbits/sec    0   86.3 KBytes       
[ 24]  96.00-97.00  sec   822 KBytes  6.73 Mbits/sec    0   91.9 KBytes       
[ 24]  97.00-98.00  sec   820 KBytes  6.72 Mbits/sec    0   99.0 KBytes       
[ 24]  98.00-99.00  sec  1.12 MBytes  9.42 Mbits/sec    0    106 KBytes       
[ 24]  99.00-100.00 sec  1.12 MBytes  9.41 Mbits/sec    0    113 KBytes       
[ 24] 100.00-101.00 sec  1.12 MBytes  9.40 Mbits/sec    0    120 KBytes       
[ 24] 101.00-102.00 sec  1.12 MBytes  9.42 Mbits/sec    0    127 KBytes       
[ 24] 102.00-103.00 sec  1.12 MBytes  9.40 Mbits/sec    0    133 KBytes       
[ 24] 103.00-104.00 sec  1.28 MBytes  10.8 Mbits/sec    0    140 KBytes       
[ 24] 104.00-105.00 sec  1.12 MBytes  9.41 Mbits/sec    0    146 KBytes       
[ 24] 105.00-106.00 sec  1.12 MBytes  9.43 Mbits/sec    0    151 KBytes       
[ 24] 106.00-107.00 sec  1.08 MBytes  9.02 Mbits/sec    1   79.2 KBytes       
[ 24] 107.00-108.00 sec  1.12 MBytes  9.41 Mbits/sec    0   89.1 KBytes       
[ 24] 108.00-109.00 sec  1.12 MBytes  9.41 Mbits/sec    0   97.6 KBytes       
[ 24] 109.00-110.00 sec  1.28 MBytes  10.8 Mbits/sec    0    106 KBytes       
[ 24] 110.00-111.00 sec  1.12 MBytes  9.41 Mbits/sec    0    113 KBytes       
[ 24] 111.00-112.00 sec  1.12 MBytes  9.41 Mbits/sec    0    120 KBytes       
[ 24] 112.00-113.00 sec  1.12 MBytes  9.41 Mbits/sec    0    127 KBytes       
[ 24] 113.00-114.00 sec  1.12 MBytes  9.41 Mbits/sec    0    133 KBytes       
[ 24] 114.00-115.00 sec  1.12 MBytes  9.41 Mbits/sec    0    139 KBytes       
[ 24] 115.00-116.00 sec  1.12 MBytes  9.41 Mbits/sec    0    146 KBytes       
[ 24] 116.00-117.00 sec  1.05 MBytes  8.82 Mbits/sec    2   79.2 KBytes       
[ 24] 117.00-118.00 sec   823 KBytes  6.74 Mbits/sec    0   86.3 KBytes       
[ 24] 118.00-119.00 sec   820 KBytes  6.72 Mbits/sec    0   93.3 KBytes       
[ 24] 119.00-120.00 sec   823 KBytes  6.74 Mbits/sec    0   99.0 KBytes       
[ 24] 120.00-121.00 sec   823 KBytes  6.74 Mbits/sec    0    105 KBytes       
[ 24] 121.00-122.00 sec   986 KBytes  8.07 Mbits/sec    0    110 KBytes       
[ 24] 122.00-123.00 sec   984 KBytes  8.06 Mbits/sec    0    117 KBytes       
[ 24] 123.00-124.00 sec  1.28 MBytes  10.7 Mbits/sec    0    124 KBytes       
[ 24] 124.00-125.00 sec  1.12 MBytes  9.41 Mbits/sec    0    130 KBytes       
[ 24] 125.00-126.00 sec  1.12 MBytes  9.41 Mbits/sec    0    136 KBytes       
[ 24] 126.00-127.00 sec  1.12 MBytes  9.43 Mbits/sec    0    143 KBytes       
[ 24] 127.00-128.00 sec  1.12 MBytes  9.42 Mbits/sec    0    148 KBytes       
[ 24] 128.00-129.00 sec  1.12 MBytes  9.41 Mbits/sec    0    153 KBytes       
[ 24] 129.00-130.00 sec  1.24 MBytes  10.4 Mbits/sec    1   84.8 KBytes       
[ 24] 130.00-131.00 sec  1.12 MBytes  9.42 Mbits/sec    0   93.3 KBytes       
[ 24] 131.00-132.00 sec  1.12 MBytes  9.41 Mbits/sec    0    102 KBytes       
[ 24] 132.00-133.00 sec  1.12 MBytes  9.41 Mbits/sec    0    109 KBytes       
[ 24] 133.00-134.00 sec  1.12 MBytes  9.43 Mbits/sec    0    117 KBytes       
[ 24] 134.00-135.00 sec  1.12 MBytes  9.42 Mbits/sec    0    123 KBytes       
[ 24] 135.00-136.00 sec  1.12 MBytes  9.43 Mbits/sec    0    130 KBytes       
[ 24] 136.00-137.00 sec  1.12 MBytes  9.41 Mbits/sec    0    136 KBytes       
[ 24] 137.00-138.00 sec  1.12 MBytes  9.42 Mbits/sec    0    141 KBytes       
[ 24] 138.00-139.00 sec  1.12 MBytes  9.41 Mbits/sec    0    147 KBytes       
[ 24] 139.00-140.00 sec  1.25 MBytes  10.5 Mbits/sec    1   77.8 KBytes       
[ 24] 140.00-141.00 sec  1.12 MBytes  9.41 Mbits/sec    0   87.7 KBytes       
[ 24] 141.00-142.00 sec  1.12 MBytes  9.42 Mbits/sec    0   96.2 KBytes       
[ 24] 142.00-143.00 sec  1.12 MBytes  9.42 Mbits/sec    0    105 KBytes       
[ 24] 143.00-144.00 sec   836 KBytes  6.85 Mbits/sec    2   55.1 KBytes       
[ 24] 144.00-145.00 sec   820 KBytes  6.72 Mbits/sec    0   63.6 KBytes       
[ 24] 145.00-146.00 sec   659 KBytes  5.40 Mbits/sec    0   70.7 KBytes       
[ 24] 146.00-147.00 sec   658 KBytes  5.39 Mbits/sec    0   77.8 KBytes       
[ 24] 147.00-148.00 sec   659 KBytes  5.40 Mbits/sec    0   83.4 KBytes       
[ 24] 148.00-149.00 sec   659 KBytes  5.40 Mbits/sec    0   89.1 KBytes       
[ 24] 149.00-150.00 sec  1.12 MBytes  9.41 Mbits/sec    0   97.6 KBytes       
[ 24] 150.00-151.00 sec  1.12 MBytes  9.41 Mbits/sec    0    105 KBytes       
[ 24] 151.00-152.00 sec  1.13 MBytes  9.48 Mbits/sec    0    113 KBytes       
[ 24] 152.00-153.00 sec  1.12 MBytes  9.41 Mbits/sec    0    120 KBytes       
[ 24] 153.00-154.00 sec  1.28 MBytes  10.8 Mbits/sec    0    126 KBytes       
[ 24] 154.00-155.00 sec  1.12 MBytes  9.41 Mbits/sec    0    133 KBytes       
[ 24] 155.00-156.00 sec  1.12 MBytes  9.41 Mbits/sec    0    139 KBytes       
[ 24] 156.00-157.00 sec  1.12 MBytes  9.41 Mbits/sec    0    144 KBytes       
[ 24] 157.00-158.00 sec  1.12 MBytes  9.42 Mbits/sec    0    150 KBytes       
[ 24] 158.00-159.00 sec  1.12 MBytes  9.41 Mbits/sec    1   77.8 KBytes       
[ 24] 159.00-160.00 sec  1.12 MBytes  9.42 Mbits/sec    0   87.7 KBytes       
[ 24] 160.00-161.00 sec  1.12 MBytes  9.41 Mbits/sec    0   96.2 KBytes       
[ 24] 161.00-162.00 sec  1.12 MBytes  9.41 Mbits/sec    0    105 KBytes       
[ 24] 162.00-163.00 sec  1.28 MBytes  10.8 Mbits/sec    0    112 KBytes       
[ 24] 163.00-164.00 sec  1.12 MBytes  9.41 Mbits/sec    0    119 KBytes       
[ 24] 164.00-165.00 sec  1.12 MBytes  9.41 Mbits/sec    0    126 KBytes       
[ 24] 165.00-166.00 sec  1.12 MBytes  9.41 Mbits/sec    0    133 KBytes       
[ 24] 166.00-167.00 sec  1.12 MBytes  9.40 Mbits/sec    0    139 KBytes       
[ 24] 167.00-168.00 sec  1.12 MBytes  9.41 Mbits/sec    0    144 KBytes       
[ 24] 168.00-169.00 sec  1.12 MBytes  9.43 Mbits/sec    0    150 KBytes       
[ 24] 169.00-170.00 sec  1.23 MBytes  10.3 Mbits/sec    1   77.8 KBytes       
[ 24] 170.00-171.00 sec  1.12 MBytes  9.41 Mbits/sec    0   87.7 KBytes       
[ 24] 171.00-172.00 sec  1.12 MBytes  9.42 Mbits/sec    0   96.2 KBytes       
[ 24] 172.00-173.00 sec  1010 KBytes  8.28 Mbits/sec    3   52.3 KBytes       
[ 24] 173.00-174.00 sec   492 KBytes  4.03 Mbits/sec    0   59.4 KBytes       
[ 24] 174.00-175.00 sec   495 KBytes  4.05 Mbits/sec    0   65.0 KBytes       
[ 24] 175.00-176.00 sec   660 KBytes  5.41 Mbits/sec    0   70.7 KBytes       
[ 24] 176.00-177.00 sec   372 KBytes  3.05 Mbits/sec    1   39.6 KBytes       
[ 24] 177.00-178.00 sec   496 KBytes  4.07 Mbits/sec    0   46.7 KBytes       
[ 24] 178.00-179.00 sec   659 KBytes  5.40 Mbits/sec    0   56.6 KBytes       
[ 24] 179.00-180.00 sec  1.12 MBytes  9.42 Mbits/sec    0   69.3 KBytes       
[ 24] 180.00-181.00 sec  1.12 MBytes  9.41 Mbits/sec    0   79.2 KBytes       
[ 24] 181.00-182.00 sec  1.12 MBytes  9.41 Mbits/sec    0   89.1 KBytes       
[ 24] 182.00-183.00 sec  1.12 MBytes  9.41 Mbits/sec    0   97.6 KBytes       
[ 24] 183.00-184.00 sec  1.28 MBytes  10.8 Mbits/sec    0    106 KBytes       
[ 24] 184.00-185.00 sec  1.12 MBytes  9.42 Mbits/sec    0    113 KBytes       
[ 24] 185.00-186.00 sec  1.12 MBytes  9.41 Mbits/sec    0    120 KBytes       
[ 24] 186.00-187.00 sec  1.12 MBytes  9.41 Mbits/sec    0    127 KBytes       
[ 24] 187.00-188.00 sec  1.12 MBytes  9.42 Mbits/sec    0    133 KBytes       
[ 24] 188.00-189.00 sec  1.12 MBytes  9.43 Mbits/sec    0    139 KBytes       
[ 24] 189.00-190.00 sec  1.12 MBytes  9.41 Mbits/sec    0    146 KBytes       
[ 24] 190.00-191.00 sec  1.12 MBytes  9.42 Mbits/sec    0    150 KBytes       
[ 24] 191.00-192.00 sec  1.22 MBytes  10.2 Mbits/sec    1   79.2 KBytes       
[ 24] 192.00-193.00 sec  1.12 MBytes  9.41 Mbits/sec    0   89.1 KBytes       
[ 24] 193.00-194.00 sec  1.13 MBytes  9.46 Mbits/sec    0   97.6 KBytes       
[ 24] 194.00-195.00 sec  1.12 MBytes  9.41 Mbits/sec    0    106 KBytes       
[ 24] 195.00-196.00 sec  1.12 MBytes  9.41 Mbits/sec    0    113 KBytes       
[ 24] 196.00-197.00 sec  1.12 MBytes  9.41 Mbits/sec    0    120 KBytes       
[ 24] 197.00-198.00 sec  1.28 MBytes  10.8 Mbits/sec    0    127 KBytes       
[ 24] 198.00-199.00 sec  1.12 MBytes  9.41 Mbits/sec    0    133 KBytes       
[ 24] 199.00-200.00 sec  1.12 MBytes  9.41 Mbits/sec    0    139 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 24]   0.00-200.00 sec   210 MBytes  8.79 Mbits/sec  135             sender
[ 24]   0.00-200.00 sec   209 MBytes  8.78 Mbits/sec                  receiver

iperf Done.
